tripduration,starttime,stoptime,start_station_id,name,start_station_latitude,start_station_longitude,end_station_id,direction,end_station_latitude,end_station_longitude,bikeid,usertype,birthyear,gender
593,41852.55694,41852.56389,72,W 52 St & 11 Ave,40.76727216,-73.99392888,72,W 52 St & 11 Ave,40.76727216,-73.99392888,19178,Subscriber,1991,1
537,41852.71667,41852.72292,72,W 52 St & 11 Ave,40.76727216,-73.99392888,72,W 52 St & 11 Ave,40.76727216,-73.99392888,20348,Subscriber,1963,1
1637,41852.72361,41852.74306,72,W 52 St & 11 Ave,40.76727216,-73.99392888,72,W 52 St & 11 Ave,40.76727216,-73.99392888,20348,Subscriber,1963,1
1144,41852.74375,41852.75694,72,W 52 St & 11 Ave,40.76727216,-73.99392888,72,W 52 St & 11 Ave,40.76727216,-73.99392888,20348,Subscriber,1963,1
1360,41852.42569,41852.44167,79,Franklin St & W Broadway,40.71911552,-74.00666661,72,W 52 St & 11 Ave,40.76727216,-73.99392888,17286,Subscriber,1964,1
885,41852.54931,41852.55972,116,W 17 St & 8 Ave,40.74177603,-74.00149746,72,W 52 St & 11 Ave,40.76727216,-73.99392888,19127,Subscriber,1970,1
1220,41852.78333,41852.79722,127,Barrow St & Hudson St,40.73172428,-74.00674436,72,W 52 St & 11 Ave,40.76727216,-73.99392888,17588,Subscriber,1980,2
1363,41852.74583,41852.76111,128,MacDougal St & Prince St,40.72710258,-74.00297088,72,W 52 St & 11 Ave,40.76727216,-73.99392888,19150,Subscriber,1984,1
1045,41852.54167,41852.55417,167,E 39 St & 3 Ave,40.7489006,-73.97604882,72,W 52 St & 11 Ave,40.76727216,-73.99392888,21256,Subscriber,1983,1
298,41852.58264,41852.58611,173,Broadway & W 49 St,40.76064679,-73.98442659,72,W 52 St & 11 Ave,40.76727216,-73.99392888,16519,Subscriber,1981,1
1780,41852.67014,41852.69028,195,Liberty St & Broadway,40.70905623,-74.01043382,72,W 52 St & 11 Ave,40.76727216,-73.99392888,14601,Subscriber,1982,1
955,41852.55139,41852.5625,212,W 16 St & The High Line,40.74334935,-74.00681753,72,W 52 St & 11 Ave,40.76727216,-73.99392888,21182,Subscriber,1979,1
771,41852.70069,41852.70903,212,W 16 St & The High Line,40.74334935,-74.00681753,72,W 52 St & 11 Ave,40.76727216,-73.99392888,18480,Subscriber,1984,2
1177,41852.26736,41852.28125,237,E 11 St & 2 Ave,40.73047309,-73.98672378,72,W 52 St & 11 Ave,40.76727216,-73.99392888,19835,Subscriber,1982,1
1099,41852.00694,41852.02014,247,Perry St & Bleecker St,40.73535398,-74.00483091,72,W 52 St & 11 Ave,40.76727216,-73.99392888,16667,Subscriber,1991,1
1442,41852.94722,41852.96389,248,Laight St & Hudson St,40.72185379,-74.00771779,72,W 52 St & 11 Ave,40.76727216,-73.99392888,17434,Subscriber,1974,1
1696,41852.83194,41852.85139,251,Mott St & Prince St,40.72317958,-73.99480012,72,W 52 St & 11 Ave,40.76727216,-73.99392888,18365,Subscriber,1976,1
2182,41852.74653,41852.77222,259,South St & Whitehall St,40.70122128,-74.01234218,72,W 52 St & 11 Ave,40.76727216,-73.99392888,21040,Subscriber,1962,1
696,41852.83889,41852.84722,79,Franklin St & W Broadway,40.71911552,-74.00666661,79,Franklin St & W Broadway,40.71911552,-74.00666661,18281,Subscriber,1959,1
1040,41852.40069,41852.4125,116,W 17 St & 8 Ave,40.74177603,-74.00149746,79,Franklin St & W Broadway,40.71911552,-74.00666661,19023,Subscriber,1984,1
1762,41852.50347,41852.52361,116,W 17 St & 8 Ave,40.74177603,-74.00149746,79,Franklin St & W Broadway,40.71911552,-74.00666661,20804,Customer,\N,0
1054,41852.65625,41852.66806,128,MacDougal St & Prince St,40.72710258,-74.00297088,79,Franklin St & W Broadway,40.71911552,-74.00666661,20728,Customer,\N,0
985,41852.65625,41852.66736,128,MacDougal St & Prince St,40.72710258,-74.00297088,79,Franklin St & W Broadway,40.71911552,-74.00666661,16667,Customer,\N,0
422,41852.75833,41852.76319,146,Hudson St & Reade St,40.71625008,-74.0091059,79,Franklin St & W Broadway,40.71911552,-74.00666661,15537,Subscriber,1981,1
459,41852.62431,41852.62986,147,Greenwich St & Warren St,40.71542197,-74.01121978,79,Franklin St & W Broadway,40.71911552,-74.00666661,20823,Subscriber,1978,2
591,41852.34931,41852.35625,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,79,Franklin St & W Broadway,40.71911552,-74.00666661,15056,Subscriber,1988,1
